PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Scotty Pippen Jr. (37170398),Devin Vassell (37170391),Jayson Tatum (37170261),Julius Randle (37170325),Nikola Jovic (37170519),Gradey Dick (37170380),Jalen Williams (37170290),Jay Huff (37170790),49900,270.04,8.217952068501256e-07,207.2,240.1,78.72999999999999
Anthony Edwards (37170286),Jaylen Brown (37170295),Jake LaRavia (37170492),Jalen Johnson (37170273),Al Horford (37170423),Scotty Pippen Jr. (37170398),Brandon Clarke (37170586),Devin Vassell (37170391),49900,271.55,3.8971275355958385e-06,207.7,249.8,78.15
Scotty Pippen Jr. (37170398),Terry Rozier (37170439),Jake LaRavia (37170492),Pascal Siakam (37170322),Jay Huff (37170790),Shai Gilgeous-Alexander (37170258),Julius Randle (37170325),Fred VanVleet (37170344),50000,272.5,3.0686654123161337e-06,197.6,244.39999999999998,78.62
Payton Pritchard (37170387),Luguentz Dort (37170453),Jake LaRavia (37170492),Jalen Williams (37170290),Jay Huff (37170790),Amen Thompson (37170347),Jaylen Brown (37170295),Alperen Sengun (37170284),49900,268.51,1.0532378247611222e-07,152.0,241.2,78.88
T.J. McConnell (37170427),Devin Vassell (37170391),Zaccharie Risacher (37170583),Jeremy Sochan (37170355),Isaiah Hartenstein (37170318),Jaylen Brown (37170295),Jayson Tatum (37170261),Jay Huff (37170790),50000,269.44,6.437811412889842e-07,188.5,233.0,79.10999999999999
Alec Burks (37170603),Devin Vassell (37170391),Jake LaRavia (37170492),Jayson Tatum (37170261),Brandon Clarke (37170586),Trae Young (37170265),Keldon Johnson (37170569),Jalen Johnson (37170273),50000,269.41,8.632170657331201e-07,165.0,244.60000000000002,77.25
Shai Gilgeous-Alexander (37170258),Andrew Nembhard (37170409),Luguentz Dort (37170453),Jaren Jackson Jr. (37170314),Naz Reid (37170446),Scotty Pippen Jr. (37170398),Jalen Williams (37170290),Jay Huff (37170790),49800,269.88,1.4039288876261188e-06,195.40000000000003,233.10000000000005,79.00999999999999
Cason Wallace (37170496),Terry Rozier (37170439),Jayson Tatum (37170261),Jake LaRavia (37170492),Myles Turner (37170359),Shai Gilgeous-Alexander (37170258),Zaccharie Risacher (37170583),Scotty Pippen Jr. (37170398),49800,268.82,7.916250686818321e-07,196.2,239.80000000000004,77.78999999999999
Andrew Nembhard (37170409),Donte DiVincenzo (37170511),Zaccharie Risacher (37170583),Jalen Johnson (37170273),Jay Huff (37170790),Anthony Edwards (37170286),Jalen Williams (37170290),Isaiah Hartenstein (37170318),50000,269.57,8.462734723299891e-07,163.1,237.0,78.34
Scotty Pippen Jr. (37170398),Donte DiVincenzo (37170511),Devin Vassell (37170391),Jayson Tatum (37170261),Isaiah Hartenstein (37170318),Mike Conley (37170470),Keldon Johnson (37170569),Alperen Sengun (37170284),49800,270.71,1.6056539473290622e-06,186.79999999999998,235.9,79.05000000000001
