PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Tyrese Haliburton (37223279),Terry Rozier (37223458),Jaden McDaniels (37223564),Draymond Green (37223411),Trayce Jackson-Davis (37223456),Buddy Hield (37223661),Jonathan Kuminga (37223353),Nikola Jokic (37223226),50000,283.5,1.1638898866689495e-05,235.0,242.90000000000003,79.8
Andrew Nembhard (37223445),Devin Vassell (37223384),Ausar Thompson (37223550),Julius Randle (37223312),Trayce Jackson-Davis (37223456),Buddy Hield (37223661),Jonathan Kuminga (37223353),Nikola Jokic (37223226),49900,282.12,1.1299161064272833e-05,232.4,242.10000000000002,80.77
Dennis Schroder (37223435),Desmond Bane (37223287),Ausar Thompson (37223550),Draymond Green (37223411),Nikola Jokic (37223226),Buddy Hield (37223661),Deni Avdija (37223389),Trayce Jackson-Davis (37223456),49800,282.23,8.062053830631015e-06,243.0,240.90000000000003,81.02000000000001
Dennis Schroder (37223435),Anthony Edwards (37223266),Ausar Thompson (37223550),Pascal Siakam (37223320),Trayce Jackson-Davis (37223456),Buddy Hield (37223661),Jaden McDaniels (37223564),Nikola Jokic (37223226),49800,282.48,1.0232543236537439e-05,241.9,244.0,80.72
Russell Westbrook (37223340),Dennis Schroder (37223435),Jaden McDaniels (37223564),Pascal Siakam (37223320),Trayce Jackson-Davis (37223456),Buddy Hield (37223661),Deni Avdija (37223389),Nikola Jokic (37223226),49800,283.82,2.2127715858589285e-05,252.7,246.0,80.87
Tyrese Haliburton (37223279),Donte DiVincenzo (37223467),Jaden McDaniels (37223564),Draymond Green (37223411),Trayce Jackson-Davis (37223456),Buddy Hield (37223661),Jonathan Kuminga (37223353),Nikola Jokic (37223226),50000,283.45,1.3460639558866976e-05,236.79999999999998,243.90000000000003,80.03
Terry Rozier (37223458),Devin Vassell (37223384),Deni Avdija (37223389),Draymond Green (37223411),Trayce Jackson-Davis (37223456),Buddy Hield (37223661),Jonathan Kuminga (37223353),Nikola Jokic (37223226),50000,284.12,2.4737518630203122e-05,243.4,243.10000000000002,80.49
Jamal Murray (37223292),Buddy Hield (37223661),Ausar Thompson (37223550),Draymond Green (37223411),Trayce Jackson-Davis (37223456),Dennis Schroder (37223435),Devin Vassell (37223384),Nikola Jokic (37223226),49800,283.19,1.682971993606703e-05,247.40000000000003,245.10000000000002,80.42
Dennis Schroder (37223435),Devin Vassell (37223384),Desmond Bane (37223287),Draymond Green (37223411),Nikola Jokic (37223226),Buddy Hield (37223661),Ausar Thompson (37223550),Trayce Jackson-Davis (37223456),49900,282.59,7.516185602515372e-06,241.7,242.40000000000003,80.65
Donte DiVincenzo (37223467),Devin Vassell (37223384),Deni Avdija (37223389),Draymond Green (37223411),Trayce Jackson-Davis (37223456),Buddy Hield (37223661),Jonathan Kuminga (37223353),Nikola Jokic (37223226),50000,284.07,2.8609478067974056e-05,245.2,244.10000000000002,80.72
Dennis Schroder (37223435),Buddy Hield (37223661),Jaden McDaniels (37223564),Pascal Siakam (37223320),Nikola Jokic (37223226),Russell Westbrook (37223340),Devin Vassell (37223384),Trayce Jackson-Davis (37223456),49900,284.18,2.0629485097330637e-05,251.39999999999998,247.5,80.5
Dennis Schroder (37223435),Andrew Nembhard (37223445),Ausar Thompson (37223550),Draymond Green (37223411),Bam Adebayo (37223273),Buddy Hield (37223661),Andrew Wiggins (37223418),Nikola Jokic (37223226),49800,282.72,1.0786225048050819e-05,243.20000000000002,244.70000000000005,80.71
Dennis Schroder (37223435),Buddy Hield (37223661),Jaden McDaniels (37223564),Draymond Green (37223411),Nikola Jokic (37223226),Andrew Nembhard (37223445),Jaren Jackson Jr. (37223243),Trayce Jackson-Davis (37223456),50000,283.25,6.580899092134885e-06,242.3,244.89999999999998,80.67
Dennis Schroder (37223435),Devin Vassell (37223384),Jaden McDaniels (37223564),Naz Reid (37223486),Bam Adebayo (37223273),Buddy Hield (37223661),Draymond Green (37223411),Nikola Jokic (37223226),49900,283.17,1.6898905349956225e-05,241.20000000000002,248.0,80.47
Terry Rozier (37223458),Buddy Hield (37223661),Deni Avdija (37223389),Draymond Green (37223411),Trayce Jackson-Davis (37223456),Dennis Schroder (37223435),Pascal Siakam (37223320),Nikola Jokic (37223226),49800,283.24,1.59488456214657e-05,247.5,242.90000000000003,80.39
Andrew Nembhard (37223445),Buddy Hield (37223661),Deni Avdija (37223389),Jonathan Kuminga (37223353),Nikola Jokic (37223226),Russell Westbrook (37223340),Tobias Harris (37223442),Trayce Jackson-Davis (37223456),50000,282.05,9.183384572220999e-06,229.8,245.10000000000002,80.74000000000001
Russell Westbrook (37223340),Buddy Hield (37223661),Ausar Thompson (37223550),Brandon Clarke (37223664),Nikola Jokic (37223226),Dennis Schroder (37223435),Naz Reid (37223486),Karl-Anthony Towns (37223234),50000,282.68,1.1263415353771626e-05,235.3,231.80000000000004,81.29999999999998
T.J. McConnell (37223536),Dennis Schroder (37223435),Ausar Thompson (37223550),Jaren Jackson Jr. (37223243),Nikola Jokic (37223226),Buddy Hield (37223661),Jonathan Kuminga (37223353),Trayce Jackson-Davis (37223456),49900,283.86,5.56316228206852e-06,259.0,227.10000000000002,81.94
Andrew Nembhard (37223445),Dennis Schroder (37223435),Ausar Thompson (37223550),Jonathan Kuminga (37223353),Nikola Jokic (37223226),Buddy Hield (37223661),Tobias Harris (37223442),Bam Adebayo (37223273),50000,284.03,8.520084789551714e-06,247.7,247.1,80.80000000000001
Scoot Henderson (37223477),Devin Vassell (37223384),Deni Avdija (37223389),Draymond Green (37223411),Trayce Jackson-Davis (37223456),Buddy Hield (37223661),Jonathan Kuminga (37223353),Nikola Jokic (37223226),49900,282.55,1.87144706158928e-05,240.6,242.8,81.03
Anfernee Simons (37223350),Buddy Hield (37223661),Ausar Thompson (37223550),Deni Avdija (37223389),Trayce Jackson-Davis (37223456),Dennis Schroder (37223435),Julius Randle (37223312),Nikola Jokic (37223226),50000,283.22,1.0791833534274355e-05,243.79999999999998,242.7,80.91
Dennis Schroder (37223435),Buddy Hield (37223661),Deni Avdija (37223389),Draymond Green (37223411),Trayce Jackson-Davis (37223456),Donte DiVincenzo (37223467),Pascal Siakam (37223320),Nikola Jokic (37223226),49800,283.19,1.844518667526034e-05,249.3,243.89999999999998,80.62
Terry Rozier (37223458),Buddy Hield (37223661),Devin Vassell (37223384),Draymond Green (37223411),Trayce Jackson-Davis (37223456),Dennis Schroder (37223435),Pascal Siakam (37223320),Nikola Jokic (37223226),49900,283.6,1.4868975865845628e-05,246.2,244.40000000000003,80.02
Anthony Edwards (37223266),Buddy Hield (37223661),Ausar Thompson (37223550),Tobias Harris (37223442),Trayce Jackson-Davis (37223456),Dennis Schroder (37223435),Deni Avdija (37223389),Nikola Jokic (37223226),49800,282.05,1.1000385570456578e-05,241.7,245.2,80.85
Dennis Schroder (37223435),Buddy Hield (37223661),Ausar Thompson (37223550),Josh Hart (37223308),Nikola Jokic (37223226),Devin Vassell (37223384),Deni Avdija (37223389),Trayce Jackson-Davis (37223456),49800,282.55,8.938364029612645e-06,243.5,248.3,80.34
Dennis Schroder (37223435),Devin Vassell (37223384),Ausar Thompson (37223550),Tobias Harris (37223442),Karl-Anthony Towns (37223234),Buddy Hield (37223661),Brandon Clarke (37223664),Nikola Jokic (37223226),50000,282.74,9.672175137678799e-06,233.90000000000003,242.0,80.61
Russell Westbrook (37223340),Buddy Hield (37223661),Jaime Jaquez Jr. (37223527),Julius Randle (37223312),Nikola Jokic (37223226),Dennis Schroder (37223435),Draymond Green (37223411),Trayce Jackson-Davis (37223456),49900,283.39,1.5684238041816677e-05,246.7,237.8,80.41
Dennis Schroder (37223435),Andrew Nembhard (37223445),Ausar Thompson (37223550),Giannis Antetokounmpo (37223228),Trayce Jackson-Davis (37223456),Buddy Hield (37223661),Brandon Clarke (37223664),Nikola Jokic (37223226),50000,283.7,1.4709629585657203e-05,247.00000000000003,232.0,81.63
