PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Tyus Jones (37345909),Kris Dunn (37346015),Norman Powell (37345802),Jalen Williams (37345767),Myles Turner (37345838),Shai Gilgeous-Alexander (37345727),Pascal Siakam (37345793),Jaylin Williams (37346032),50000,278.1,1.0104565525793592e-05,223.8,244.2,78.89
Shaedon Sharpe (37345826),Devin Booker (37345739),Luguentz Dort (37345935),Kevin Durant (37345735),Domantas Sabonis (37345733),Cason Wallace (37345917),Grayson Allen (37345912),Jaylin Williams (37346032),50000,278.01,9.35212058134773e-06,237.59999999999997,257.1,77.28999999999999
Tyus Jones (37345909),Dalano Banton (37346152),Cam Whitmore (37345967),Kevin Durant (37345735),Mason Plumlee (37345928),Shai Gilgeous-Alexander (37345727),Evan Mobley (37345758),Ivica Zubac (37345796),50000,278.03,5.138164462795321e-06,211.1,228.7,78.16
Anfernee Simons (37345809),Devin Booker (37345739),Ausar Thompson (37345893),Kevin Durant (37345735),Jaylin Williams (37346032),Amir Coffey (37346025),Jalen Williams (37345767),Deandre Ayton (37345836),50000,278.18,3.87212563311027e-06,230.99999999999997,246.0,78.64
Cade Cunningham (37345730),Dalano Banton (37346152),Toumani Camara (37345885),Pascal Siakam (37345793),Ivica Zubac (37345796),Shai Gilgeous-Alexander (37345727),Obi Toppin (37345960),Jaylin Williams (37346032),50000,278.06,4.464762053184001e-06,215.5,232.8,80.10999999999999
Anfernee Simons (37345809),Jalen Green (37345787),Cam Whitmore (37345967),Kevin Durant (37345735),Myles Turner (37345838),Scoot Henderson (37345859),Evan Mobley (37345758),Jaylin Williams (37346032),50000,278.13,4.167963695033567e-06,218.5,253.1,78.41
Shai Gilgeous-Alexander (37345727),Kris Dunn (37346015),Derrick Jones Jr. (37346050),Kenrich Williams (37346061),Jaylin Williams (37346032),Devin Booker (37345739),Jalen Williams (37345767),Alperen Sengun (37345746),49900,278.07,2.7650348526136127e-06,209.0,234.6,78.9
Cason Wallace (37345917),Dalano Banton (37346152),Grayson Allen (37345912),Kevin Durant (37345735),Jarrett Allen (37345815),Shai Gilgeous-Alexander (37345727),Evan Mobley (37345758),Tyus Jones (37345909),50000,278.19,2.831442168806604e-06,194.1,240.6,77.62
De'Aaron Fox (37345748),Devin Booker (37345739),Grayson Allen (37345912),Jalen Williams (37345767),Ivica Zubac (37345796),Scoot Henderson (37345859),Luguentz Dort (37345935),Jaylin Williams (37346032),50000,278.0,1.3560885054191608e-05,230.8,257.0,78.11
Anfernee Simons (37345809),Kris Dunn (37346015),Norman Powell (37345802),Kevin Durant (37345735),Jaylin Williams (37346032),Cade Cunningham (37345730),Luguentz Dort (37345935),Myles Turner (37345838),50000,278.04,8.32272946000783e-06,227.79999999999998,251.3,78.17
Cason Wallace (37345917),Dalano Banton (37346152),Norman Powell (37345802),Evan Mobley (37345758),Jaylin Williams (37346032),Shai Gilgeous-Alexander (37345727),Obi Toppin (37345960),Domantas Sabonis (37345733),50000,278.37,9.213941673643e-07,192.3,231.7,79.33999999999999
Cade Cunningham (37345730),Shaedon Sharpe (37345826),Amir Coffey (37346025),Jalen Williams (37345767),Jaylin Williams (37346032),Tyus Jones (37345909),Kevin Durant (37345735),Jalen Duren (37345862),50000,278.01,9.096381258161673e-06,235.29999999999998,245.6,78.72999999999999
Scoot Henderson (37345859),Dalano Banton (37346152),Grayson Allen (37345912),Cam Whitmore (37345967),Ivica Zubac (37345796),Shai Gilgeous-Alexander (37345727),Kevin Durant (37345735),Jarrett Allen (37345815),50000,278.09,1.368844125409077e-05,220.59999999999997,237.70000000000002,78.55
De'Aaron Fox (37345748),Devin Booker (37345739),Derrick Jones Jr. (37346050),Kenrich Williams (37346061),Alperen Sengun (37345746),Tyus Jones (37345909),Kevin Durant (37345735),Jaylin Williams (37346032),50000,278.33,2.29757678367749e-06,217.40000000000003,242.60000000000002,77.3
Anfernee Simons (37345809),Jalen Green (37345787),Luguentz Dort (37345935),Kenrich Williams (37346061),Jaylin Williams (37346032),Shai Gilgeous-Alexander (37345727),Evan Mobley (37345758),Ivica Zubac (37345796),50000,278.28,3.6135333623833496e-06,207.1,244.89999999999998,78.47
