PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Jrue Holiday (36987621),CJ McCollum (36987563),Herbert Jones (36987615),Keegan Murray (36987594),Jakob Poeltl (36987551),Trey Murphy III (36987578),Brandon Boston Jr. (36987637),Bam Adebayo (36987542),50000,257.52,8.644802665729246e-05,256.3,262.2,77.18
Jrue Holiday (36987621),CJ McCollum (36987563),Jayson Tatum (36987508),Herbert Jones (36987615),Yves Missi (36987613),Dru Smith (36987709),Trey Murphy III (36987578),Tyler Herro (36987548),49900,258.63,0.00010166618167244808,263.4,253.0,76.91
Dejounte Murray (36987531),CJ McCollum (36987563),Herbert Jones (36987615),Jimmy Butler (36987553),Yves Missi (36987613),Duncan Robinson (36987668),Brandon Boston Jr. (36987637),Tyler Herro (36987548),49800,257.7,0.00011091759155559156,262.9,246.89999999999998,77.77
CJ McCollum (36987563),Duncan Robinson (36987668),Jaylen Brown (36987534),Javonte Green (36987705),Yves Missi (36987613),Tyler Herro (36987548),Trey Murphy III (36987578),Jakob Poeltl (36987551),50000,259.16,0.00011196802280065821,267.1,248.29999999999995,77.42999999999999
Jrue Holiday (36987621),CJ McCollum (36987563),Trey Murphy III (36987578),Jimmy Butler (36987553),Jakob Poeltl (36987551),Dru Smith (36987709),Herbert Jones (36987615),Tyler Herro (36987548),50000,258.62,8.552504974401577e-05,255.2,257.1,76.9
Dru Smith (36987709),CJ McCollum (36987563),Jimmy Butler (36987553),Tobias Harris (36987585),Jakob Poeltl (36987551),Dejounte Murray (36987531),Herbert Jones (36987615),Yves Missi (36987613),50000,258.06,4.6789543189561536e-05,241.3,248.20000000000002,78.65
CJ McCollum (36987563),Trey Murphy III (36987578),Keegan Murray (36987594),Jonathan Mogbo (36987678),Yves Missi (36987613),Dejounte Murray (36987531),Herbert Jones (36987615),Bam Adebayo (36987542),49900,257.1,9.004279475316182e-05,261.00000000000006,252.3,77.88
Tyler Herro (36987548),CJ McCollum (36987563),Herbert Jones (36987615),Keegan Murray (36987594),Yves Missi (36987613),Duncan Robinson (36987668),Trey Murphy III (36987578),Bam Adebayo (36987542),49600,258.3,0.00019140664575474823,282.7,258.69999999999993,77.27000000000001
Tyler Herro (36987548),Duncan Robinson (36987668),Herbert Jones (36987615),Al Horford (36987629),Yves Missi (36987613),Dejounte Murray (36987531),Jimmy Butler (36987553),Jakob Poeltl (36987551),50000,258.06,4.7115837807406356e-05,246.0,250.0,77.69999999999999
Tyler Herro (36987548),Derrick White (36987574),Trey Murphy III (36987578),Herbert Jones (36987615),Jakob Poeltl (36987551),Jrue Holiday (36987621),Javonte Green (36987705),Bam Adebayo (36987542),50000,257.86,7.150734247786653e-05,249.9,259.1,76.31
Tyler Herro (36987548),CJ McCollum (36987563),Trey Murphy III (36987578),Jonathan Mogbo (36987678),Yves Missi (36987613),Jrue Holiday (36987621),Herbert Jones (36987615),Domantas Sabonis (36987515),50000,258.3,9.767927258725406e-05,262.59999999999997,251.0,77.16
Tyler Herro (36987548),Derrick White (36987574),Trey Murphy III (36987578),Herbert Jones (36987615),Jakob Poeltl (36987551),Dru Smith (36987709),Brandon Boston Jr. (36987637),Dejounte Murray (36987531),50000,257.66,6.655174049087828e-05,246.7,253.3,77.5
Dejounte Murray (36987531),CJ McCollum (36987563),Trey Murphy III (36987578),Keegan Murray (36987594),Jakob Poeltl (36987551),Duncan Robinson (36987668),Herbert Jones (36987615),Yves Missi (36987613),49600,258.52,0.00016125875835055884,278.20000000000005,258.20000000000005,78.21000000000001
Jrue Holiday (36987621),Duncan Robinson (36987668),Brandon Boston Jr. (36987637),Jayson Tatum (36987508),Kristaps Porzingis (36987557),CJ McCollum (36987563),Trey Murphy III (36987578),Yves Missi (36987613),50000,257.3,7.096270040722879e-05,253.5,243.29999999999998,77.57
Dejounte Murray (36987531),Derrick White (36987574),Javonte Green (36987705),Jayson Tatum (36987508),Yves Missi (36987613),Duncan Robinson (36987668),Herbert Jones (36987615),Jakob Poeltl (36987551),50000,257.11,5.3009768075173043e-05,244.00000000000003,246.39999999999998,77.55999999999999
Jrue Holiday (36987621),Duncan Robinson (36987668),Trey Murphy III (36987578),Herbert Jones (36987615),Domantas Sabonis (36987515),CJ McCollum (36987563),Brandon Boston Jr. (36987637),Jakob Poeltl (36987551),49900,257.78,0.00010642954602484896,262.5,254.0,77.37
Davion Mitchell (36987658),Duncan Robinson (36987668),Herbert Jones (36987615),Jayson Tatum (36987508),Yves Missi (36987613),Tyler Herro (36987548),Trey Murphy III (36987578),Jakob Poeltl (36987551),50000,258.47,8.613338264830742e-05,264.2,254.59999999999997,77.60999999999999
Dejounte Murray (36987531),CJ McCollum (36987563),Brandon Boston Jr. (36987637),Jonathan Mogbo (36987678),Bam Adebayo (36987542),Dru Smith (36987709),Trey Murphy III (36987578),Jakob Poeltl (36987551),50000,258.57,5.745978919256494e-05,242.4,239.0,78.63
Dejounte Murray (36987531),Duncan Robinson (36987668),Brandon Boston Jr. (36987637),Herbert Jones (36987615),Bam Adebayo (36987542),Tyler Herro (36987548),Trey Murphy III (36987578),Yves Missi (36987613),49600,259.21,0.00018920142169365957,279.3,249.4,77.98
CJ McCollum (36987563),Duncan Robinson (36987668),Trey Murphy III (36987578),Jonathan Mogbo (36987678),Yves Missi (36987613),Jrue Holiday (36987621),Jayson Tatum (36987508),Bam Adebayo (36987542),49900,257.98,9.712751284778522e-05,261.59999999999997,243.0,77.35
Tyler Herro (36987548),Duncan Robinson (36987668),Brandon Boston Jr. (36987637),Jimmy Butler (36987553),Yves Missi (36987613),CJ McCollum (36987563),Herbert Jones (36987615),Bam Adebayo (36987542),49600,257.78,0.0001424181875573796,270.0,246.9,77.58000000000001
