PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Jared Butler (36930398),Carlton Carrington (36930293),Nikola Jokic (36929997),Jordan Poole (36930110),Marcus Smart (36930285),OG Anunoby (36930138),Christian Braun (36930189),Josh Hart (36930098),49800,268.79,2.0643411015811974e-05,223.6,248.6,78.57
Carlton Carrington (36930293),Mason Plumlee (36930301),Mikal Bridges (36930150),Scottie Barnes (36930013),Christian Braun (36930189),Desmond Bane (36930120),Alexandre Sarr (36930172),Jaylen Brown (36930043),49900,258.25,1.2466901357673053e-06,159.8,255.70000000000002,77.91
Jared Butler (36930398),Marvin Bagley III (36930299),Nikola Jokic (36929997),Jordan Poole (36930110),Mikal Bridges (36930150),OG Anunoby (36930138),Jamal Murray (36930069),Justin Champagnie (36930405),50000,267.08,6.3337500576859805e-06,199.4,237.5,78.11
Carlton Carrington (36930293),Karl-Anthony Towns (36930021),Marcus Smart (36930285),Aaron Gordon (36930147),Josh Hart (36930098),Luka Doncic (36929999),Jaylen Wells (36930336),Haywood Highsmith (36930378),49800,254.82,4.261481472242938e-07,154.29999999999998,244.0,76.97
Carlton Carrington (36930293),Nikola Jokic (36929997),Jordan Poole (36930110),Christian Braun (36930189),Daniel Gafford (36930205),Jaylen Brown (36930043),Aaron Wiggins (36930341),Haywood Highsmith (36930378),50000,260.67,2.708200268237283e-07,150.3,232.2,78.41
Jared Butler (36930398),Carlton Carrington (36930293),Nikola Jokic (36929997),OG Anunoby (36930138),Michael Porter Jr. (36930102),Ja Morant (36930026),Brandon Clarke (36930316),Miles McBride (36930324),49900,259.76,2.97683906367744e-07,176.5,231.7,78.26
Carlton Carrington (36930293),Marvin Bagley III (36930299),Jordan Poole (36930110),Jrue Holiday (36930224),Michael Porter Jr. (36930102),Jalen Brunson (36930040),Jimmy Butler (36930076),Trey Murphy III (36930128),50000,256.65,1.5270720790956386e-07,134.3,247.79999999999998,77.66
Nikola Jokic (36929997),Jordan Poole (36930110),Jrue Holiday (36930224),OG Anunoby (36930138),Jalen Brunson (36930040),Oso Ighodaro (36930289),Justin Champagnie (36930405),Kevin Love (36930396),50000,261.03,9.326762111286685e-08,140.0,225.1,79.53
Jordan Poole (36930110),Jrue Holiday (36930224),Mikal Bridges (36930150),Jay Huff (36930422),Marcus Smart (36930285),Scottie Barnes (36930013),Jayson Tatum (36930005),Bilal Coulibaly (36930207),50000,259.52,3.905633895389503e-07,134.4,249.3,76.95
Jared Butler (36930398),Jordan Poole (36930110),Shai Gilgeous-Alexander (36930002),Desmond Bane (36930120),Jayson Tatum (36930005),Yves Missi (36930203),Alex Caruso (36930373),Haywood Highsmith (36930378),49800,255.3,1.2915067071205728e-07,127.6,223.9,78.89
