Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Antonio Reeves (36987757),Antonio Reeves,36987757,SG/SF/F/G/UTIL,3000,SAC@NOP 12/12/2024 08:00PM ET,NOP,8.08
SF,Jamal Cain (36987762),Jamal Cain,36987762,SF/F/UTIL,3000,SAC@NOP 12/12/2024 08:00PM ET,NOP,11.45
PF/C,Karlo Matkovic (36987765),Karlo Matkovic,36987765,PF/C/F/UTIL,3000,SAC@NOP 12/12/2024 08:00PM ET,NOP,5.3
C,Daniel Theis (36987769),Daniel Theis,36987769,C/UTIL,3000,SAC@NOP 12/12/2024 08:00PM ET,NOP,11.32
C,Alex Len (36987810),Alex Len,36987810,C/UTIL,3000,SAC@NOP 12/12/2024 08:00PM ET,SAC,6.75
PG,Jordan McLaughlin (36987812),Jordan McLaughlin,36987812,PG/G/UTIL,3000,SAC@NOP 12/12/2024 08:00PM ET,SAC,5.81
PF,Jae Crowder (36987815),Jae Crowder,36987815,PF/F/UTIL,3000,SAC@NOP 12/12/2024 08:00PM ET,SAC,10.15
C,Orlando Robinson (36987818),Orlando Robinson,36987818,C/UTIL,3000,SAC@NOP 12/12/2024 08:00PM ET,SAC,8.65
SG,Mason Jones (36987820),Mason Jones,36987820,SG/G/UTIL,3000,SAC@NOP 12/12/2024 08:00PM ET,SAC,5.17
PF,Isaiah Crawford (36987823),Isaiah Crawford,36987823,PF/F/UTIL,3000,SAC@NOP 12/12/2024 08:00PM ET,SAC,1.25
PF/C,Isaac Jones (36987826),Isaac Jones,36987826,PF/C/F/UTIL,3000,SAC@NOP 12/12/2024 08:00PM ET,SAC,7.55
PG,Devin Carter (36987830),Devin Carter,36987830,PG/G/UTIL,3000,SAC@NOP 12/12/2024 08:00PM ET,SAC,0
