"Name","Salary","Position","Matchup","Team","Opponent","Ownership %"
"Shake Milton","3,800","PG/SG","LAL@DAL","LAL","DAL","0.0"
"Luke Kornet","3,800","C","BOS@DEN","BOS","DEN","0.0"
"Nick Richards","3,700","C","PHX@CHA","CHA","PHX","0.0"
"Svi Mykhailiuk","3,700","SG/SF","ATL@UTA","UTA","ATL","0.0"
"Kyshawn George","3,600","SF/PF","HOU@WAS","WAS","HOU","0.0"
"Kel'el Ware","3,600","C","MIA@GSW","MIA","GSW","0.0"
"Seth Curry","3,500","SG","PHX@CHA","CHA","PHX","0.0"
"Oso Ighodaro","3,500","PF/C","PHX@CHA","PHX","CHA","0.0"
"Brandon Williams","3,500","PG","LAL@DAL","DAL","LAL","0.0"
"Neemias Queta","3,400","C","BOS@DEN","BOS","DEN","0.0"
"Keshad Johnson","3,400","SF/PF","MIA@GSW","MIA","GSW","0.0"
"Jeff Green","3,300","PF/C","HOU@WAS","HOU","WAS","0.0"
"Christian Koloko","3,200","C","LAL@DAL","LAL","DAL","0.0"
"Jordan Walsh","3,200","SG/SF","BOS@DEN","BOS","DEN","0.0"
"Nick Smith Jr.","3,100","SG/SF","PHX@CHA","CHA","PHX","0.0"
"Dario Saric","3,100","C","BOS@DEN","DEN","BOS","0.0"
"DeAndre Jordan","3,100","C","BOS@DEN","DEN","BOS","0.0"
"Kevon Looney","3,100","C","MIA@GSW","GSW","MIA","0.0"
"Alec Burks","3,100","PG/SG","MIA@GSW","MIA","GSW","0.0"
"TyTy Washington Jr.","3,000","PG","PHX@CHA","PHX","CHA","0.0"
"Taj Gibson","3,000","C","PHX@CHA","CHA","PHX","0.0"
"KJ Simpson","3,000","PG","PHX@CHA","CHA","PHX","0.0"
"DaQuan Jeffries","3,000","PF","PHX@CHA","CHA","PHX","0.0"
"Bol Bol","3,000","PF/C","PHX@CHA","PHX","CHA","0.0"
"Collin Gillespie","3,000","PG","PHX@CHA","PHX","CHA","0.0"
"Anthony Gill","3,000","C","HOU@WAS","WAS","HOU","0.0"
"Jared Butler","3,000","PG","HOU@WAS","WAS","HOU","0.0"
