Name,Team,Position,Salary,Projection,Std Dev,Ceiling,Floor,Bust%,Boom%,Ownership%,Optimal%,Leverage
Grayson Allen,PHX,SG,"4,900",22.19,8.7,28.06,16.33,49,11.81,0.24,1.08,0.84
Nickeil Alexander-Walker,MIN,SG/SF,"3,300",15.82,7.77,21.07,10.58,45,11.51,1.6,2.08,0.48
Ryan Dunn,PHX,SF/PF,"4,100",18.45,8.52,24.2,12.71,49,11.17,0.48,1.1,0.62
Josh Giddey,CHI,PG,"7,800",33.37,10.01,40.12,26.62,56,10.7,0.42,0.28,-0.14
Donovan Clingan,POR,C,"3,200",13.7,8.82,19.65,7.75,53,10.64,0.7,0.38,-0.32
Clint Capela,ATL,C,"5,500",24.33,8.66,30.17,18.49,51,10.36,,,
Patrick Williams,CHI,PF,"4,900",21.53,8.64,27.35,15.7,52,10.21,0.4,0.58,0.18
Brook Lopez,MIL,C,"5,700",24.61,9.05,30.72,18.51,54,10.09,0.06,0.3,0.24
Bradley Beal,PHX,SG/SF,"7,700",32.94,9.7,39.48,26.41,56,10.04,0.34,0.26,-0.08
Precious Achiuwa,NYK,PF/C,"3,500",16.04,7.77,21.29,10.8,48,9.86,1.48,1.14,-0.34
Derrick Jones Jr.,LAC,PF,"3,700",17.22,7.52,22.29,12.15,46,9.71,,,
Lonzo Ball,CHI,PG,"4,100",17.94,8.29,23.53,12.35,52,9.47,1.26,0.72,-0.54
Lauri Markkanen,UTA,SF/PF,"7,600",32.12,9.66,38.64,25.6,58,9.33,0.36,0.12,-0.24
Alec Burks,MIA,PG/SG,"3,200",14.71,7.4,19.7,9.72,48,8.87,0.94,1.18,0.24
Obi Toppin,IND,PF/C,"4,000",17.1,8.3,22.7,11.5,54,8.73,0.7,0.54,-0.16
Collin Sexton,UTA,PG/SG,"6,400",26.46,9.5,32.87,20.06,59,8.69,0.12,0.18,0.06
Lindy Waters III,GSW,SG/SF,"3,300",14.75,7.59,19.87,9.63,50,8.53,0.68,0.92,0.24
Julian Strawther,DEN,SG/SF,"3,300",14.68,7.63,19.83,9.54,50,8.5,1.46,0.94,-0.52
Jordan Clarkson,UTA,SG,"6,000",24.9,8.89,30.9,18.91,59,7.76,0.22,0.18,-0.04
John Konchar,MEM,SF/PF,"4,800",19.79,8.44,25.48,14.1,58,7.34,0.14,0.2,0.06
Haywood Highsmith,MIA,SF/PF,"4,100",17.34,7.89,22.67,12.02,55,7.29,0.4,0.2,-0.2
Matas Buzelis,CHI,SF/PF,"3,200",13.14,7.86,18.44,7.84,56,7.09,0.1,0.44,0.34
Jarace Walker,IND,SF/PF,"3,200",13.24,7.77,18.49,8,55,7.04,0.76,0.42,-0.34
Josh Okogie,PHX,SF,"3,900",16.32,7.83,21.61,11.04,56,6.97,0.3,0.28,-0.02
Kevon Looney,GSW,C,"3,200",13.1,7.83,18.37,7.82,56,6.93,0.06,0.1,0.04
Peyton Watson,DEN,PF,"3,700",15.54,7.71,20.74,10.35,55,6.88,0.44,0.3,-0.14
Gary Trent Jr.,MIL,SG/SF,"3,400",14.93,7.15,19.75,10.1,52,6.77,0.8,0.6,-0.2
Julian Champagnie,SAS,SG/SF,"4,100",16.73,7.97,22.11,11.36,58,6.47,0.62,0.28,-0.34
Terance Mann,LAC,SG/SF,"3,000",13.38,6.85,18,8.76,50,6.45,,,
Kel'el Ware,MIA,C,"3,600",14.39,7.99,19.78,9,58,6.44,0.02,0.04,0.02
Bobby Portis,MIL,PF/C,"7,300",28.61,9.7,35.15,22.06,66,6.23,0.06,0,-0.06
Bogdan Bogdanovic,ATL,SG/SF,"4,600",18.87,7.92,24.21,13.52,59,6.11,,,
Tre Jones,SAS,PG,"3,500",14.06,7.65,19.22,8.89,58,5.83,0.26,0.24,-0.02
Dyson Daniels,ATL,PG/SG,"7,400",29.13,9.25,35.36,22.89,67,5.42,,,
Kyle Filipowski,UTA,C,"3,100",11.55,7.7,16.74,6.35,62,4.97,0,0.04,0.04
Talen Horton-Tucker,CHI,SG/SF,"3,500",13.18,7.79,18.43,7.92,62,4.89,0,0.08,0.08
De'Andre Hunter,ATL,SF/PF,"6,900",26.48,9.03,32.57,20.39,69,4.63,,,
Miles McBride,NYK,PG/SG,"4,500",17.53,7.72,22.74,12.32,63,4.46,0.04,0.02,-0.02
Robert Williams,POR,PF/C,"3,800",13.43,8.23,18.98,7.88,67,4.42,0.02,0,-0.02
Ben Sheppard,IND,SG/SF,"3,100",11.9,7.24,16.78,7.01,61,4.42,0.26,0.14,-0.12
DeAndre Jordan,DEN,C,"3,200",11.74,7.53,16.82,6.66,63,4.28,0,0.02,0.02
Zaccharie Risacher,ATL,SF/PF,"4,600",17.8,7.74,23.02,12.57,64,4.27,,,
Wendell Moore Jr.,DET,PG/SG,"3,000",11.29,7.2,16.15,6.44,62,4.16,0,0,0
Jay Huff,MEM,C,"4,400",15.26,8.41,20.93,9.58,70,3.78,0,0,0
Tim Hardaway Jr.,DET,SG/SF,"4,100",15.3,7.56,20.4,10.19,66,3.69,0.3,0.06,-0.24
Bol Bol,PHX,PF/C,"3,000",11.09,7.06,15.85,6.33,63,3.62,0,0.12,0.12
