Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4604253788,NBA $2K Hot Shot [3 Entry Max],172965598,$3,Scoot Henderson (37295298),Anthony Edwards (37295132) (LOCKED),Jaime Jaquez Jr. (37295217),Julius Randle (37295181) (LOCKED),Donovan Clingan (37295456),Cade Cunningham (37295119) (LOCKED),Nikola Jovic (37295268),Rudy Gobert (37295237) (LOCKED),,PF/C,Jeremy Sochan (37295225),Jeremy Sochan,37295225,PF/C/F/UTIL,5900,Postponed,SAS,30.15
4604253789,NBA $2K Hot Shot [3 Entry Max],172965598,$3,Scoot Henderson (37295298),Anthony Edwards (37295132) (LOCKED),Jaime Jaquez Jr. (37295217),Naz Reid (37295264) (LOCKED),Donovan Clingan (37295456),Cade Cunningham (37295119) (LOCKED),Julius Randle (37295181) (LOCKED),Jalen Duren (37295235) (LOCKED),,PG,Scotty Pippen Jr. (37295229) (LOCKED),Scotty Pippen Jr.,37295229,PG/G/UTIL,5900,In Progress,MEM,25.26
4604253790,NBA $2K Hot Shot [3 Entry Max],172965598,$3,Scoot Henderson (37295298),Anthony Edwards (37295132) (LOCKED),Jaime Jaquez Jr. (37295217),Nikola Jovic (37295268),Jakob Poeltl (37295200) (LOCKED),Cade Cunningham (37295119) (LOCKED),Jaden McDaniels (37295320) (LOCKED),Jalen Duren (37295235) (LOCKED),,SG,Malik Beasley (37295232) (LOCKED),Malik Beasley,37295232,SG/G/UTIL,5600,Final,DET,26.18
4604261983,NBA $4K High Five [Single Entry],172965599,$5,Mike Conley (37295379) (LOCKED),Terry Rozier (37295247),Scottie Barnes (37295135) (LOCKED),Julius Randle (37295181) (LOCKED),Jalen Duren (37295235) (LOCKED),Cade Cunningham (37295119) (LOCKED),Jaden McDaniels (37295320) (LOCKED),Rudy Gobert (37295237) (LOCKED),,C,Jalen Duren (37295235) (LOCKED),Jalen Duren,37295235,C/UTIL,5500,Final,DET,28
4604260994,NBA $3K Quarter Jukebox [Just $0.25!],172965600,$0.25,Cade Cunningham (37295119) (LOCKED),Anthony Edwards (37295132) (LOCKED),Desmond Bane (37295164) (LOCKED),Jaime Jaquez Jr. (37295217),Donovan Clingan (37295456),Mike Conley (37295379) (LOCKED),Naz Reid (37295264) (LOCKED),Jalen Duren (37295235) (LOCKED),,C,Rudy Gobert (37295237) (LOCKED),Rudy Gobert,37295237,C/UTIL,5400,In Progress,MIN,29.97
4604260995,NBA $3K Quarter Jukebox [Just $0.25!],172965600,$0.25,Shaedon Sharpe (37295221),Anthony Edwards (37295132) (LOCKED),RJ Barrett (37295150) (LOCKED),Jaime Jaquez Jr. (37295217),Donovan Clingan (37295456),Mike Conley (37295379) (LOCKED),Scottie Barnes (37295135) (LOCKED),Rudy Gobert (37295237) (LOCKED),,PF,Jerami Grant (37295239),Jerami Grant,37295239,PF/F/UTIL,5200,MIA@POR 01/11/2025 10:00PM ET,POR,27.24
4604260996,NBA $3K Quarter Jukebox [Just $0.25!],172965600,$0.25,Scoot Henderson (37295298),Anthony Edwards (37295132) (LOCKED),RJ Barrett (37295150) (LOCKED),Naz Reid (37295264) (LOCKED),Donovan Clingan (37295456),Cade Cunningham (37295119) (LOCKED),Nikola Jovic (37295268),Jalen Duren (37295235) (LOCKED),,PG/SG,Terry Rozier (37295247),Terry Rozier,37295247,PG/SG/G/UTIL,5100,MIA@POR 01/11/2025 10:00PM ET,MIA,23.41
4604260997,NBA $3K Quarter Jukebox [Just $0.25!],172965600,$0.25,Immanuel Quickley (37295197) (LOCKED),Anthony Edwards (37295132) (LOCKED),Jaden McDaniels (37295320) (LOCKED),Julius Randle (37295181) (LOCKED),Donovan Clingan (37295456),Ja Morant (37295147) (LOCKED),Nikola Jovic (37295268),Anfernee Simons (37295194),,SG/SF,Jaylen Wells (37295242) (LOCKED),Jaylen Wells,37295242,SG/SF/F/G/UTIL,5100,In Progress,MEM,20.24
4604260998,NBA $3K Quarter Jukebox [Just $0.25!],172965600,$0.25,Mike Conley (37295379) (LOCKED),Anthony Edwards (37295132) (LOCKED),Jaden McDaniels (37295320) (LOCKED),Nikola Jovic (37295268),Rudy Gobert (37295237) (LOCKED),Ja Morant (37295147) (LOCKED),RJ Barrett (37295150) (LOCKED),Jakob Poeltl (37295200) (LOCKED),,PG/SG,Donte DiVincenzo (37295251) (LOCKED),Donte DiVincenzo,37295251,PG/SG/G/UTIL,4900,In Progress,MIN,22.64
4604260999,NBA $3K Quarter Jukebox [Just $0.25!],172965600,$0.25,Ja Morant (37295147) (LOCKED),Anthony Edwards (37295132) (LOCKED),Toumani Camara (37295290),Nikola Jovic (37295268),Donovan Clingan (37295456),Cade Cunningham (37295119) (LOCKED),Jaden McDaniels (37295320) (LOCKED),Rudy Gobert (37295237) (LOCKED),,SF/PF,Ausar Thompson (37295258) (LOCKED),Ausar Thompson,37295258,SF/PF/F/UTIL,4800,Final,DET,18.88
