"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"Trey Alexander","0.00","PG/SG","DEN","UTA","0.0","3,000","0.00","-15.00"
"DaRon Holmes II","0.00","C","DEN","UTA","0.0","3,000","0.00","-15.00"
"Aaron Gordon","0.00","PF","DEN","UTA","0.0","5,500","0.00","-27.50"
"Gary Payton II","0.00","SF","GSW","CLE","0.0","3,200","0.00","-16.00"
"Cam Christie","0.00","SG","LAC","NOP","0.0","3,000","0.00","-15.00"
"Kawhi Leonard","0.00","PF/C","LAC","NOP","0.0","8,000","0.00","-40.00"
"Jose Alvarado","0.00","PG","NOP","LAC","0.0","5,600","0.00","-28.00"
"Brandon Ingram","0.00","PG","NOP","LAC","0.0","8,100","0.00","-40.50"
"Mitchell Robinson","0.00","C","NYK","WAS","0.0","3,900","0.00","-19.50"
"KJ Martin","0.00","PF","PHI","POR","0.0","3,000","0.00","-15.00"
"Jared McCain","0.00","PG","PHI","POR","0.0","3,000","0.00","-15.00"
"Justin Edwards","0.00","SF","PHI","POR","0.0","3,000","0.00","-15.00"
"Colby Jones","0.00","SG/SF","SAC","DAL","0.0","3,000","0.00","-15.00"
"Isaiah Crawford","0.00","PF","SAC","DAL","0.0","3,000","0.00","-15.00"
"Mason Jones","0.00","SG","SAC","DAL","0.0","3,000","0.00","-15.00"
"Patty Mills","0.00","PG","UTA","DEN","0.0","3,000","0.00","-15.00"
"John Collins","0.00","PF/C","UTA","DEN","0.0","7,000","0.00","-35.00"
"Anthony Gill","0.00","C","WAS","NYK","0.0","3,000","0.00","-15.00"
"Nick Smith Jr.","0.00","SG/SF","CHA","CHI","0.0","3,000","0.00","-15.00"
"Tre Mann","0.00","PG","CHA","CHI","0.0","4,200","0.00","-21.00"
"Adama Sanogo","0.00","C","CHI","CHA","0.0","3,000","0.00","-15.00"
"E.J. Liddell","0.00","C","CHI","CHA","0.0","3,000","0.00","-15.00"
"Luke Travers","0.00","SF","CLE","GSW","0.0","3,000","0.00","-15.00"
"Dante Exum","0.00","SF","DAL","SAC","0.0","3,000","0.00","-15.00"
"Kyrie Irving","0.00","PG/SG","DAL","SAC","0.0","8,900","0.00","-44.50"
"Naji Marshall","0.00","SF/PF","DAL","SAC","0.0","4,700","0.00","-23.50"
"Vlatko Cancar","0.00","C","DEN","UTA","0.0","3,000","0.00","-15.00"
"Brandin Podziemski","0.00","PG/SG","GSW","CLE","0.0","4,000","0.00","-20.00"
"P.J. Tucker","0.00","PF","LAC","NOP","0.0","3,000","0.00","-15.00"
"Terance Mann","0.00","SG/SF","LAC","NOP","0.0","3,400","0.00","-17.00"
"Zion Williamson","0.00","PF","NOP","LAC","0.0","8,700","0.00","-43.50"
"Karlo Matkovic","0.00","PF/C","NOP","LAC","0.0","3,000","0.00","-15.00"
"Jeff Dowtin","0.00","PG","PHI","POR","0.0","3,000","0.00","-15.00"
"Duop Reath","0.00","C","POR","PHI","0.0","3,000","0.00","-15.00"
"Matisse Thybulle","0.00","PF","POR","PHI","0.0","3,000","0.00","-15.00"
"Devin Carter","0.00","PG","SAC","DAL","0.0","3,000","0.00","-15.00"
"Orlando Robinson","0.00","C","SAC","DAL","0.0","3,000","0.00","-15.00"
"Isaac Jones","0.00","PF/C","SAC","DAL","0.0","3,000","0.00","-15.00"
"Taylor Hendricks","0.00","PF","UTA","DEN","0.0","3,000","0.00","-15.00"
"Oscar Tshiebwe","0.00","C","UTA","DEN","0.0","3,000","0.00","-15.00"
"Richaun Holmes","0.00","C","WAS","NYK","0.0","3,000","0.00","-15.00"
"Marvin Bagley III","0.00","C","WAS","NYK","0.0","3,500","0.00","-17.50"
